severity,category,record_index,supplier_index,system,component,supplier_name,role_hint,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,description,detail
MEDIUM,COUNTRY_CENTROID_USED,135,6,Ens. Tablette cocktail,tissu,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,135,11,Ens. Tablette cocktail,tissu,FRANKLIN,tier2_second_transformation,Pologne,Poland,,51.8215327,20.5268712,cache:nominatim,"FRANKLIN, Pologne",Plasturgie — sous-ensembles composites,location should be normalized from 'Pologne' to 'Poland'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,135,16,Ens. Tablette cocktail,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,135,16,Ens. Tablette cocktail,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,135,16,Ens. Tablette cocktail,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,136,1,Ens. Têtière,tissu,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
MEDIUM,ROLE_HINT_VAGUE,136,2,Ens. Têtière,tissu,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,136,2,Ens. Têtière,tissu,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,location should be normalized from 'Chine' to 'China'
LOW,LOCATION_NONSTANDARD_LABEL,136,3,Ens. Têtière,tissu,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,136,3,Ens. Têtière,tissu,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,coordinates are country centroid (India); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,136,4,Ens. Têtière,tissu,Toray,tier3_first_transformation,Japon,Japan,,34.977976,135.8941262,cache:nominatim,"Toray, Japon",Fibres / polymères,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,136,6,Ens. Têtière,tissu,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,136,6,Ens. Têtière,tissu,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,136,11,Ens. Têtière,tissu,FRANKLIN,tier2_second_transformation,Pologne,Poland,,51.8215327,20.5268712,cache:nominatim,"FRANKLIN, Pologne",Plasturgie — sous-ensembles composites,location should be normalized from 'Pologne' to 'Poland'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,136,16,Ens. Têtière,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,136,16,Ens. Têtière,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,136,16,Ens. Têtière,tissu,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,137,1,Padding (rembourrage),ULTRA LEATHER SMOKE,BASF,tier4_raw_material,Allemagne,Germany,,49.5528125,8.3516349,cache:nominatim,"BASF, Allemagne",Chimie de base / polymères,location should be normalized from 'Allemagne' to 'Germany'
LOW,LOCATION_NONSTANDARD_LABEL,137,2,Padding (rembourrage),ULTRA LEATHER SMOKE,Krohne,tier2_second_transformation,Allemagne,Germany,,51.1498261,13.7978466,cache:nominatim,"Krohne, Allemagne",Instrumentation process,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,137,4,Padding (rembourrage),ULTRA LEATHER SMOKE,Ultrafabrics (Japon),transformation,Japon,Japan,,36.65,138.18,manual,"Ultrafabrics Japan, approximate coordinates 36.65, 138.18",Revêtements synthétiques – seconde transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,137,4,Padding (rembourrage),ULTRA LEATHER SMOKE,Ultrafabrics (Japon),transformation,Japon,Japan,,36.65,138.18,manual,"Ultrafabrics Japan, approximate coordinates 36.65, 138.18",Revêtements synthétiques – seconde transformation,location should be normalized from 'Japon' to 'Japan'
MEDIUM,ROLE_HINT_VAGUE,137,5,Padding (rembourrage),ULTRA LEATHER SMOKE,Ultrafabrics (Japon),transformation,Japon,Japan,,36.65,138.18,manual,"Ultrafabrics Japan, approximate coordinates 36.65, 138.18",Revêtements synthétiques – seconde transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,137,5,Padding (rembourrage),ULTRA LEATHER SMOKE,Ultrafabrics (Japon),transformation,Japon,Japan,,36.65,138.18,manual,"Ultrafabrics Japan, approximate coordinates 36.65, 138.18",Revêtements synthétiques – seconde transformation,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,137,6,Padding (rembourrage),ULTRA LEATHER SMOKE,MGR FOAMTEX,tier2_second_transformation,Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR FOAMTEX, Angleterre",Mousse technique / housses sièges — sous-ensembles,location should be normalized from 'Angleterre' to 'United Kingdom'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,137,9,Padding (rembourrage),ULTRA LEATHER SMOKE,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,137,9,Padding (rembourrage),ULTRA LEATHER SMOKE,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,137,9,Padding (rembourrage),ULTRA LEATHER SMOKE,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,138,1,Ens. Structure fixe,inox,Saarstahl,tier4_raw_material,Allemagne,Germany,,49.3593951,7.1714727,cache:nominatim,"Saarstahl, Allemagne",Acier brut,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,138,2,Ens. Structure fixe,inox,Arcelor Mittal,material,Luxembourg,Luxembourg,,49.579589,6.1108861,cache:nominatim,"Arcelor Mittal, Luxembourg",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,138,3,Ens. Structure fixe,inox,Krupp,tier3_first_transformation,Allemagne,Germany,,51.3350109,7.5747349,cache:nominatim,"Krupp, Allemagne",Sidérurgie — 1ère transformation,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,ROLE_HINT_VAGUE,138,4,Ens. Structure fixe,inox,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,role_hint 'material' is too vague; proposed canonical role: tier4_raw_material_or_tier3_first_transformation
LOW,LOCATION_NONSTANDARD_LABEL,138,4,Ens. Structure fixe,inox,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,location should be normalized from 'Chine' to 'China'
MEDIUM,COUNTRY_CENTROID_USED,138,4,Ens. Structure fixe,inox,China Baowu,material,Chine,China,,35.8617,104.1954,cache:nominatim,"China Baowu, Chine",Matière première – acier primaire,coordinates are country centroid (China); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,138,5,Ens. Structure fixe,inox,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,nominatim,"Tata Steel, Jamshedpur, Golmuri-Cum-Jugsalai, East Singhbhum, Jharkhand, 831001, India",Acier primaire,location should be normalized from 'Inde' to 'India'
LOW,LOCATION_NONSTANDARD_LABEL,138,11,Ens. Structure fixe,inox,SENIOR AEROSPACE,tier1,Thailande,Thailand,,13.0914,101.0108,manual,"789/115-116 Moo 1, Nongkham, Sriracha, Chonburi 20230, Thailand",Structures / tubes aéronautiques — Tier 1,location should be normalized from 'Thailande' to 'Thailand'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,138,24,Ens. Structure fixe,inox,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,138,25,Ens. Structure fixe,inox,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,138,25,Ens. Structure fixe,inox,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,138,25,Ens. Structure fixe,inox,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,139,1,Ens. Structure fixe,nylon,Mitsubishi Chemical,tier4_raw_material,Japon,Japan,,36.2048,138.2529,cache:nominatim,"Mitsubischi chemical, Japon",Polymères / plastiques techniques,location should be normalized from 'Japon' to 'Japan'
MEDIUM,COUNTRY_CENTROID_USED,139,1,Ens. Structure fixe,nylon,Mitsubishi Chemical,tier4_raw_material,Japon,Japan,,36.2048,138.2529,cache:nominatim,"Mitsubischi chemical, Japon",Polymères / plastiques techniques,coordinates are country centroid (Japan); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,139,2,Ens. Structure fixe,nylon,Krohne,tier2_second_transformation,Allemagne,Germany,,51.1498261,13.7978466,cache:nominatim,"Krohne, Allemagne",Instrumentation process,location should be normalized from 'Allemagne' to 'Germany'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,139,3,Ens. Structure fixe,nylon,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,139,5,Ens. Structure fixe,nylon,BASF,tier4_raw_material,Allemagne,Germany,,49.5528125,8.3516349,cache:nominatim,"BASF, Allemagne",Chimie de base / polymères,location should be normalized from 'Allemagne' to 'Germany'
LOW,LOCATION_NONSTANDARD_LABEL,139,6,Ens. Structure fixe,nylon,Ensinger,tier2_second_transformation,Allemagne,Germany,,48.5010122,8.8201999,cache:nominatim,"Ensinger, Allemagne",Polymères techniques extrudés,location should be normalized from 'Allemagne' to 'Germany'
LOW,LOCATION_NONSTANDARD_LABEL,139,7,Ens. Structure fixe,nylon,BASF,tier4_raw_material,Allemagne,Germany,,49.5528125,8.3516349,cache:nominatim,"BASF, Allemagne",Chimie de base / polymères,location should be normalized from 'Allemagne' to 'Germany'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,139,8,Ens. Structure fixe,nylon,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,139,10,Ens. Structure fixe,nylon,Toray,tier3_first_transformation,Japon,Japan,,35.6866,139.7746,manual,"Nihonbashi Mitsui Tower, 1-1 Nihonbashi-Muromachi 2-chome, Chuo-ku, Tokyo 103-8666, Japan",Fibres / polymères,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,139,11,Ens. Structure fixe,nylon,Vaisala,tier2_second_transformation,Finlande,Finland,,64.760075,28.314085,nominatim,"Väisälä, Hyrynsalmi, Kehys-Kainuun seutukunta, Kainuu, Manner-Suomi, Suomi / Finland",Instrumentation / capteurs,location should be normalized from 'Finlande' to 'Finland'
LOW,LOCATION_NONSTANDARD_LABEL,139,12,Ens. Structure fixe,nylon,Siemens,tier1,Allemagne,Germany,,49.4807306,10.9626833,nominatim,"Siemens, West, Fürth, Bayern, 90766, Deutschland",Systèmes électriques / avionique — Tier 1,location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,139,14,Ens. Structure fixe,nylon,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,coordinates are country centroid (Germany); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,139,14,Ens. Structure fixe,nylon,Schroth,tier2_second_transformation,USA,USA,,51.1657,10.4515,cache:nominatim,"Schroth, USA",Harnais de sécurité — sous-ensembles,"lat/lon (51.1657,10.4515) are outside normalized location country USA"
LOW,LOCATION_NONSTANDARD_LABEL,139,15,Ens. Structure fixe,nylon,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),location should be normalized from 'Lituanie' to 'Lithuania'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,139,15,Ens. Structure fixe,nylon,J&C Aero,tier1,Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,"J&C Aero, Lituanie",Rétrofit / aménagement cabine (Tier 1),"lat/lon (-20.5228026,-54.6480379) are outside normalized location country Lithuania"
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,139,16,Ens. Structure fixe,nylon,Anjou Aéro,tier1,France,France,,39.7837304,-100.4458825,cache:nominatim,"Anjou Aéro, France",Fixations aéronautiques / sous-ensembles mécaniques,"lat/lon (39.7837304,-100.4458825) are outside normalized location country France"
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,139,18,Ens. Structure fixe,nylon,Plastiservice,tier2_second_transformation,France,France,,50.6940265,5.6338412,cache:nominatim,"Plastiservice, Belgique",Plasturgie — sous-ensembles injection,geocode_query countries=['Belgium'] do not include normalized location=France
MEDIUM,GEOCODE_PROVIDER_MISSING,139,19,Ens. Structure fixe,nylon,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),geocode_provider is missing although coordinates may be present
LOW,LOCATION_NONSTANDARD_LABEL,139,19,Ens. Structure fixe,nylon,Ancra Aircraft,tier1,États-Unis,USA,,34.11167,-117.92529,,"Ancra Aircraft, Californie - USA",Systèmes cargo / aviation (Tier 1),location should be normalized from 'États-Unis' to 'USA'
LOW,LOCATION_NONSTANDARD_LABEL,139,20,Ens. Structure fixe,nylon,TA Aerospace,tier1,Californie - USA,USA,,34.0981156,-117.5480526,nominatim,"TA Aerospace, Californie - USA",Tubes / joints aéronautiques — Tier 1,location should be normalized from 'Californie - USA' to 'USA'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,139,31,Ens. Structure fixe,nylon,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,139,31,Ens. Structure fixe,nylon,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,139,31,Ens. Structure fixe,nylon,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,140,1,Coussin têtière,velcro,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
MEDIUM,ROLE_HINT_VAGUE,140,2,Coussin têtière,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,140,2,Coussin têtière,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,location should be normalized from 'Chine' to 'China'
LOW,LOCATION_NONSTANDARD_LABEL,140,3,Coussin têtière,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,140,3,Coussin têtière,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,coordinates are country centroid (India); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,140,4,Coussin têtière,velcro,Toray,tier3_first_transformation,Japon,Japan,,34.977976,135.8941262,cache:nominatim,"Toray, Japon",Fibres / polymères,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,140,6,Coussin têtière,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,140,6,Coussin têtière,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,140,11,Coussin têtière,velcro,FRANKLIN,tier2_second_transformation,Pologne,Poland,,51.8215327,20.5268712,cache:nominatim,"FRANKLIN, Pologne",Plasturgie — sous-ensembles composites,location should be normalized from 'Pologne' to 'Poland'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,140,16,Coussin têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,140,16,Coussin têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,140,16,Coussin têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,141,1,Ens.coussin dossier version têtière,velcro,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
MEDIUM,ROLE_HINT_VAGUE,141,2,Ens.coussin dossier version têtière,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,141,2,Ens.coussin dossier version têtière,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,location should be normalized from 'Chine' to 'China'
LOW,LOCATION_NONSTANDARD_LABEL,141,3,Ens.coussin dossier version têtière,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,141,3,Ens.coussin dossier version têtière,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,coordinates are country centroid (India); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,141,4,Ens.coussin dossier version têtière,velcro,Toray,tier3_first_transformation,Japon,Japan,,34.977976,135.8941262,cache:nominatim,"Toray, Japon",Fibres / polymères,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,141,6,Ens.coussin dossier version têtière,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,141,6,Ens.coussin dossier version têtière,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,141,11,Ens.coussin dossier version têtière,velcro,FRANKLIN,tier2_second_transformation,Pologne,Poland,,51.8215327,20.5268712,cache:nominatim,"FRANKLIN, Pologne",Plasturgie — sous-ensembles composites,location should be normalized from 'Pologne' to 'Poland'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,141,16,Ens.coussin dossier version têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,141,16,Ens.coussin dossier version têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,141,16,Ens.coussin dossier version têtière,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,142,1,Ens. Coussin dossier,velcro,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
MEDIUM,ROLE_HINT_VAGUE,142,2,Ens. Coussin dossier,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,142,2,Ens. Coussin dossier,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,location should be normalized from 'Chine' to 'China'
LOW,LOCATION_NONSTANDARD_LABEL,142,3,Ens. Coussin dossier,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,142,3,Ens. Coussin dossier,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,coordinates are country centroid (India); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,142,4,Ens. Coussin dossier,velcro,Toray,tier3_first_transformation,Japon,Japan,,34.977976,135.8941262,cache:nominatim,"Toray, Japon",Fibres / polymères,location should be normalized from 'Japon' to 'Japan'
LOW,LOCATION_NONSTANDARD_LABEL,142,6,Ens. Coussin dossier,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,142,6,Ens. Coussin dossier,velcro,Tissu Huddersfield,tier3_first_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Tissu Huddersfield, Angleterre",Laine et tissus,coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,142,11,Ens. Coussin dossier,velcro,FRANKLIN,tier2_second_transformation,Pologne,Poland,,51.8215327,20.5268712,cache:nominatim,"FRANKLIN, Pologne",Plasturgie — sous-ensembles composites,location should be normalized from 'Pologne' to 'Poland'
LOW,OEM_ENTRY_IN_SUPPLIERS_LIST,142,16,Ens. Coussin dossier,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,Safran OEM/internal final integrator is stored in suppliers; keep separate from external supply tiers
MEDIUM,GEOCODE_PROVIDER_MISSING,142,16,Ens. Coussin dossier,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,geocode_provider is missing although coordinates may be present
MEDIUM,COUNTRY_CENTROID_USED,142,16,Ens. Coussin dossier,velcro,Safran,oem,France,France,,46.2276,2.2137,,,,coordinates are country centroid (France); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,143,1,Manchette équipée,velcro,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"lat/lon (47.7979001,7.190275) are outside normalized location country USA"
MEDIUM,ROLE_HINT_VAGUE,143,2,Manchette équipée,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,role_hint 'transformation' is too vague; proposed canonical role: tier2_or_tier3_transformation
LOW,LOCATION_NONSTANDARD_LABEL,143,2,Manchette équipée,velcro,"Zhejiang Yuxin Textile Co.,Ltd.",transformation,Chine,China,,30.5278,120.4306,manual,"Defeng Village, Chang’an Town, Haining, Zhejiang 314400, China",Textile technique – première transformation,location should be normalized from 'Chine' to 'China'
LOW,LOCATION_NONSTANDARD_LABEL,143,3,Manchette équipée,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,location should be normalized from 'Inde' to 'India'
MEDIUM,COUNTRY_CENTROID_USED,143,3,Manchette équipée,velcro,Paragon Textiles,tier3_first_transformation,Inde,India,,20.5937,78.9629,cache:nominatim,"Paragon Textiles, Inde",Tissage de base,coordinates are country centroid (India); not supplier/site precise
